onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.53154008	3	4	1	0.15	0.15	2	-3	0	2.333311755	0
10.43202542	3	4	2	0.15	0.15	4	1	0	2.083324062	0
18.72507875	3	4	3	0.15	0.15	-1	4	0	1.650325041	0
24.62313063	3	4	4	0.15	0.15	-2	-4	0	1.797813826	0
30.12120465	3	4	5	0.15	0.15	-3	4	0	2.016409448	0
39.25139889	3	4	6	0.15	0.15	1	4	1	2.533289301	0
44.33305245	3	4	7	0.15	0.15	-1	2	1	n/a	1
50.23573408	3	4	8	0.15	0.15	-4	-1	0	1.816861286	0
57.3286349	3	4	9	0.15	0.15	-4	-2	0	1.383638212	0
64.42612773	3	4	10	0.15	0.15	2	4	1	2.980323293	0
72.72336471	3	4	11	0.15	0.15	-4	-3	0	1.599400851	0
81.83724916	3	4	12	0.15	0.15	-4	-3	0	1.500321033	0
89.33432734	3	4	13	0.15	0.15	2	-1	1	2.066708345	0
95.63212085	3	4	14	0.15	0.15	4	4	1	2.499909911	0
103.945999	3	4	15	0.15	0.15	3	2	1	2.516595842	0
108.6276862	3	4	16	0.15	0.15	-3	-1	0	1.866865773	0
116.5583383	3	4	17	0.15	0.15	3	-3	1	2.350094959	0
126.0384483	3	4	18	0.15	0.15	2	-4	0	2.816452323	0
134.7396324	3	4	19	0.15	0.15	-2	-3	0	1.500235325	0
145.4318512	3	4	20	0.15	0.15	1	-4	0	1.700329501	0
156.1281221	3	4	21	0.15	0.15	3	-2	1	2.833106693	0
164.8584512	3	4	22	0.15	0.15	-3	3	0	1.483582396	0
172.7391336	3	4	23	0.15	0.15	-3	-1	0	1.26707905	0
178.2405148	3	4	24	0.15	0.15	-3	4	0	1.266850585	0
184.5351425	3	4	25	0.15	0.15	-2	1	0	1.283785741	0
192.4324356	3	4	26	0.15	0.15	2	-1	1	1.631208231	0
197.930491	3	4	27	0.15	0.15	-1	1	1	2.466134255	0
207.4441978	3	4	28	0.15	0.15	4	2	1	1.950182145	0
217.7450522	3	4	29	0.15	0.15	1	2	0	1.850249554	0
224.4381026	3	4	30	0.15	0.15	-3	-3	0	2.083406995	0
231.1358843	3	4	31	0.15	0.15	-2	-2	0	1.546943684	0
241.4323342	3	4	32	0.15	0.15	-4	1	0	1.600051335	0
252.1453233	3	4	33	0.15	0.15	-3	4	0	1.833516575	0
256.8437347	3	4	34	0.15	0.15	-4	-2	0	1.816839114	0
263.945314	3	4	35	0.15	0.15	-3	2	0	1.367035123	0
273.8379573	3	4	36	0.15	0.15	1	1	1	2.179794175	0
281.3353758	3	4	37	0.15	0.15	-4	3	0	1.64972704	0
290.8654792	3	4	38	0.15	0.15	-2	-3	0	1.333713225	0
295.9472069	3	4	39	0.15	0.15	1	-1	1	2.433393961	0
301.8494872	3	4	40	0.15	0.15	2	2	0	1.800319557	0
310.9418876	3	4	41	0.15	0.15	3	1	0	2.416666279	0
321.2383398	3	4	42	0.15	0.15	-4	-4	0	1.716198013	0
328.7691775	3	4	43	0.15	0.15	-1	-3	0	2.033481805	0
335.4501595	3	4	44	0.15	0.15	-1	3	1	2.366714494	0
344.1511876	3	4	45	0.15	0.15	1	3	1	2.433340991	0
349.2454421	3	4	46	0.15	0.15	1	-2	1	2.166765397	0
359.1421555	3	4	47	0.15	0.15	2	2	1	2.41456516	0
365.4399755	3	4	48	0.15	0.15	-4	-4	0	1.399859058	0
